created_at,screen_name,text,favorite_count,retweet_count,hashtags,linked_url
2020-03-30T18:00:20Z,ReutersAfrica,nigerian stocks drop to 8-year low after buhari orders lockdown to fight coronavirus https://t.co/aec26dz2er,5,12,NA,https://af.reuters.com/article/investingNews/idAFKBN21H2LP-OZABS
2020-03-30T16:12:43Z,ReutersAfrica,zimbabweans enter #coronavirus #lockdown amid severe economic crisis https://t.co/8paosoe7it,11,13,"coronavirus, lockdown",https://af.reuters.com/article/africaTech/idAFKBN21H1W0-OZATP
2020-03-30T14:52:21Z,ReutersAfrica,"zimbabwe began a 21-day nationwide lockdown on monday, following neighbour south africa in implementing some of the world’s toughest anti-coronavirus measures likely to hurt an economy already suffering hyperinflation and food shortages. @mdzirutwe  reports. https://t.co/ore8n1p1je",37,25,NA,NA
2020-03-30T13:50:33Z,ReutersAfrica,"we will win fight against coronavirus, says marathon great kipchoge https://t.co/l4thoanm8b",29,8,NA,https://af.reuters.com/article/sportsNews/idAFKBN21H1OX-OZASP
2020-03-30T13:35:07Z,ReutersAfrica,zimbabweans enter coronavirus lockdown amid severe economic crisis https://t.co/8paosoe7it,54,40,NA,https://af.reuters.com/article/africaTech/idAFKBN21H1W0-OZATP
2020-03-30T12:48:59Z,ReutersAfrica,"africa is crying out for debt relief to weather a perfect storm of coronavirus, plummeting oil and commodity prices, mounting budget deficits and weaker currencies. @joebavier and  @karinstrohecker report.    https://t.co/1wwp8iheeb https://t.co/frx75llmfp",11,11,NA,https://buff.ly/2Jn6ZQz
2020-03-30T12:05:04Z,ReutersAfrica,"worshippers at the church have unwittingly taken the disease caused by the virus home to the west african state of burkina faso, to the mediterranean island of corsica, to guyana in latin america, to switzerland, to a french nuclear power plant....",4,5,NA,NA
2020-03-30T12:04:12Z,ReutersAfrica,special report: five days of worship that set a virus time bomb in france https://t.co/9whsnysu0e,23,14,NA,https://af.reuters.com/article/worldNews/idAFKBN21H0QJ
2020-03-30T12:02:06Z,ReutersAfrica,"south africa’s confirmed cases of the coronavirus increased by 93 to 1,280 people on sunday and the death toll doubled to two, the health ministry said, as the country entered the third day of a national lockdown.  https://t.co/kre7rdaym8 https://t.co/gk3mt0jehe",5,13,NA,https://buff.ly/3auP9as
2020-03-30T10:30:59Z,ReutersAfrica,africa's web of creditors complicates coronavirus debt relief https://t.co/mtg2ezskmw,6,2,NA,https://af.reuters.com/article/africaTech/idAFKBN21H0SF-OZATP
2020-03-30T10:30:30Z,ReutersAfrica,"south africa records second coronavirus death as infections jump to 1,280 https://t.co/woz0zstsmx",11,15,NA,https://af.reuters.com/article/topNews/idAFKBN21H15D-OZATP
2020-03-30T08:05:02Z,ReutersAfrica,south africa announces tax relief for business hit by coronavirus https://t.co/6wwls36pmh,21,6,NA,https://af.reuters.com/article/topNews/idAFKBN21H0SO-OZATP
2020-03-30T07:53:34Z,ReutersAfrica,mali holds election despite coronavirus and insurgency https://t.co/1bsw7vknzh,15,9,NA,https://af.reuters.com/article/topNews/idAFKBN21G0H4-OZATP
2020-03-29T15:49:54Z,ReutersAfrica,south africa’s national treasury said on sunday it was introducing a new tax subsidy of 500 rand ($28) per month to employers for the next four months to cushion financial losses suffered by firms due to the coronavirus. https://t.co/zetq7s7h4g https://t.co/mlgmblxwg7,14,16,NA,https://af.reuters.com/article/investingNews/idAFKBN21G0NI-OZABS
2020-03-29T14:22:39Z,ReutersAfrica,nigeria imposes offshore oil worker restrictions in coronavirus battle https://t.co/0lnuwz7jxk,24,16,NA,https://af.reuters.com/article/investingNews/idAFKBN21G0I7-OZABS
2020-03-29T12:21:32Z,ReutersAfrica,"the coronavirus pandemic has posed a further threat to the vote but authorities in the west african nation have insisted it will go ahead, promising to enforce additional hygiene measures to protect mali’s 7.6 million voters.",1,2,NA,NA
2020-03-29T12:21:06Z,ReutersAfrica,"mali held its long-delayed parliamentary election on sunday despite an insurgency in its central and northern regions, concerns about coronavirus and the recent kidnapping of the main opposition leader. https://t.co/1bsw7vknzh https://t.co/sq29quzteg",14,9,NA,https://af.reuters.com/article/topNews/idAFKBN21G0H4-OZATP
2020-03-29T12:06:53Z,ReutersAfrica,"south africa may approach the international monetary fund and world bank for funding to fight the coronavirus that threatens to drag the country’s economy deeper into recession, finance minister tito mboweni said in the sunday times newspaper. https://t.co/odqfxraiiz https://t.co/rf7dqqt6ab",19,15,NA,https://af.reuters.com/article/investingNews/idAFKBN21G093-OZABS
2020-03-29T12:05:08Z,ReutersAfrica,"south africa’s confirmed cases of coronavirus increased at a slower rate on saturday, up by 17 to 1,187 people, the health ministry said, as the country entered the second day of a national lockdown. https://t.co/tdcy2dwxyc https://t.co/4zmvtudydu",100,55,NA,https://af.reuters.com/article/topNews/idAFKBN21G07O-OZATP
2020-03-29T12:01:12Z,ReutersAfrica,"coronavirus has now spread to dozens of the 47 countries of the who africa region, with 2,650 infected and 49 dead, the head of the world health organization (who) said on saturday. https://t.co/osto0xog8i https://t.co/8c9r5izun4",23,29,NA,https://af.reuters.com/article/topNews/idAFKBN21G07M-OZATP
2020-03-29T08:54:35Z,ReutersAfrica,"south africa may approach the international monetary fund and world bank for funding to fight the coronavirus that threatens to drag the country’s economy deeper into recession, finance minister tito mboweni said in the sunday times newspaper. https://t.co/odqfxraiiz https://t.co/r7xdi50fw6",33,30,NA,https://af.reuters.com/article/investingNews/idAFKBN21G093-OZABS
2020-03-29T08:50:41Z,ReutersAfrica,"two new cases of the coronavirus have been confirmed in libya, authorities said on saturday, after the first was detected earlier this week, with international aid agencies warning of a disaster if it spreads. https://t.co/tushjw1yda https://t.co/8kqeyvb8dz",20,15,NA,https://af.reuters.com/article/topNews/idAFKBN21G07Y-OZATP
2020-03-29T08:49:33Z,ReutersAfrica,"the european union has granted tunisia 250 million euros in aid to help it cope with the economic and social effects of the coronavirus outbreak, eu ambassador patrice bergamini said on saturday in a tweet. https://t.co/cwmjsikdjk https://t.co/tjs8eluui8",9,8,NA,https://af.reuters.com/article/topNews/idAFKBN21G07U-OZATP
2020-03-29T08:33:59Z,ReutersAfrica,"south africa’s confirmed cases of coronavirus increased at a slower rate on saturday, up by 17 to 1,187 people, the health ministry said, as the country entered the second day of a national lockdown. @mfunekotoy reports. https://t.co/tdcy2dwxyc https://t.co/lddmoxqshv",19,7,NA,https://af.reuters.com/article/topNews/idAFKBN21G07O-OZATP
2020-03-29T08:30:26Z,ReutersAfrica,"coronavirus has now spread to dozens of the 47 countries of the who africa region, with 2,650 infected and 49 dead, the head of the world health organization (who) said on saturday. https://t.co/osto0xog8i https://t.co/jrbbmle3mr",30,21,NA,https://af.reuters.com/article/topNews/idAFKBN21G07M-OZATP
2020-03-28T14:40:54Z,ReutersAfrica,south african billionaire businessman patrice motsepe said on saturday his group of companies would donate 1 billion rand to help fight the coronavirus outbreak that has forced the country into total lockdown as infections climb. @mfunekotoy reports. https://t.co/6qiy8seggs https://t.co/v0ihelxqpy,51,17,NA,https://af.reuters.com/article/topNews/idAFKBN21F0FY-OZATP
2020-03-28T14:31:15Z,ReutersAfrica,"namibia on saturday ordered mining companies to cease operations for three weeks as the country entered its first day of a partial lockdown, and stepped up measures to curb coronavirus infections which currently stand at eight people. https://t.co/ziycehowmk https://t.co/87ibhu13cu",29,29,NA,https://af.reuters.com/article/investingNews/idAFKBN21F0KW-OZABS
2020-03-28T13:54:54Z,ReutersAfrica,morocco to spend $200 million to brace health system for coronavirus https://t.co/8cbqe5zcps,24,20,NA,https://af.reuters.com/article/africaTech/idAFKBN21F0GM-OZABS
2020-03-28T12:12:21Z,ReutersAfrica,south african billionaire businessman patrice motsepe said on saturday his group of companies would donate 1 billion rand ($57 million) to help fight the coronavirus outbreak that has forced the country into total lockdown as infections climb. https://t.co/6qiy8seggs https://t.co/wghxygygcg,287,146,NA,https://af.reuters.com/article/topNews/idAFKBN21F0FY-OZATP
2020-03-28T11:49:02Z,ReutersAfrica,"small business owners like coffee vendor siyathemba ralo say they will struggle as a 21-day coronavirus lockdown begins, and don't know how to access promised government measures to mitigate economic damage. david doyle reports. https://t.co/figlyeakvo",17,16,NA,NA
2020-03-28T11:25:13Z,ReutersAfrica,"moody’s downgraded south africa’s sovereign credit rating to “junk” status on friday, heaping more pain on an economy already in recession and now staring down the barrel of a steep contraction over the global coronavirus pandemic. https://t.co/aki4b4jm39 https://t.co/jy7zqirjnp",10,17,NA,https://af.reuters.com/article/investingNews/idAFKBN21F08K-OZABS
2020-03-28T08:29:12Z,ReutersAfrica,"zimbabwe will impose a nationwide lockdown for 21 days from monday to help curb the spread of the coronavirus, and security forces may be deployed to enforce it, president emmerson mnangagwa said on friday. https://t.co/tk7g84okq9 https://t.co/sp8jwjreaf",62,51,NA,https://af.reuters.com/article/topNews/idAFKBN21F086-OZATP
