"topic_1","topic_2","topic_3","topic_4","topic_5","topic_6","topic_7","topic_8","topic_9","topic_10"
0.0222222222222222,0.0222222222222222,0,0,0,0,0,0,0,0.955555555555556
0.00769230769230769,0,0.153846153846154,0.146153846153846,0,0,0.138461538461538,0,0.546153846153846,0.00769230769230769
0.505263157894737,0.4,0,0,0,0,0.0894736842105263,0,0.00526315789473684,0
0.06,0,0,0.16,0,0,0.01,0,0.77,0
0,0.00625,0.075,0,0,0.91875,0,0,0,0
0,0.733333333333333,0.0333333333333333,0.0777777777777778,0,0,0.1,0.0555555555555556,0,0
0.376923076923077,0,0.00769230769230769,0.276923076923077,0,0,0.0153846153846154,0,0.323076923076923,0
0.00526315789473684,0.00526315789473684,0,0.263157894736842,0.0631578947368421,0.0105263157894737,0.489473684210526,0.1,0.0315789473684211,0.0315789473684211
0,0,0,0,0.0111111111111111,0.644444444444444,0.344444444444444,0,0,0
0,0,0.25,0.00625,0,0.61875,0.125,0,0,0
0.2,0.025,0,0.358333333333333,0,0,0.15,0.225,0.0333333333333333,0.00833333333333333
0.21,0,0,0,0.68,0.01,0,0,0,0.1
0.414285714285714,0.55,0.0285714285714286,0,0,0,0,0,0.00714285714285714,0
0,0,0.25,0.00833333333333333,0.0333333333333333,0.00833333333333333,0.375,0.175,0.15,0
0,0.925,0,0,0,0,0,0,0.05,0.025
0,0,0,0,0,0,0.293333333333333,0,0.00666666666666667,0.7
0,0.973333333333333,0,0,0,0,0.0266666666666667,0,0,0
0,0,0,0,0,0,0.1,0,0.614285714285714,0.285714285714286
0,0.1,0.0125,0,0.03125,0.65625,0.1875,0,0.00625,0.00625
0,0.0555555555555556,0,0.0888888888888889,0,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0888888888888889,0.7
0.02,0,0.24,0,0.58,0,0.02,0,0.06,0.08
0.0214285714285714,0,0.135714285714286,0,0.0857142857142857,0,0.721428571428571,0,0,0.0357142857142857
0,0,0.446153846153846,0,0,0,0.553846153846154,0,0,0
0.055,0.675,0.225,0,0.01,0,0,0.025,0.01,0
0.1125,0.4125,0.25,0.0375,0,0.0791666666666667,0,0.0625,0.00416666666666667,0.0416666666666667
0.506666666666667,0.08,0.246666666666667,0.16,0,0,0,0,0,0.00666666666666667
0.893333333333333,0,0,0,0.0733333333333333,0,0.0333333333333333,0,0,0
0,0.05,0,0,0,0,0.95,0,0,0
0.0363636363636364,0,0,0.5,0,0.0636363636363636,0,0,0.4,0
0.53125,0.00625,0.2,0.0125,0,0.00625,0,0,0.24375,0
0.315384615384615,0.576923076923077,0,0.00769230769230769,0,0.0692307692307692,0,0.0307692307692308,0,0
0.00909090909090909,0.609090909090909,0.0181818181818182,0.00454545454545455,0,0,0.304545454545455,0,0.0227272727272727,0.0318181818181818
0.00454545454545455,0.618181818181818,0,0,0,0.00909090909090909,0.368181818181818,0,0,0
0.02,0.02,0,0,0.02,0,0.92,0,0.02,0
0,0,0.318181818181818,0.0318181818181818,0.00909090909090909,0.263636363636364,0.377272727272727,0,0,0
0,0,0,0.00769230769230769,0,0.9,0.00769230769230769,0,0.00769230769230769,0.0769230769230769
0.166666666666667,0.74,0,0.00666666666666667,0.0533333333333333,0,0,0,0,0.0333333333333333
0,0,0.45,0,0.307142857142857,0.15,0,0.0928571428571429,0,0
0.129411764705882,0,0.0352941176470588,0,0.0117647058823529,0,0.758823529411765,0,0.0647058823529412,0
0,0.846666666666667,0,0,0,0,0.146666666666667,0,0.00666666666666667,0
0,0,0,0,0,0.307142857142857,0.671428571428571,0,0.0142857142857143,0.00714285714285714
0,0,0.99,0.01,0,0,0,0,0,0
